contractor_id,avg_cost_overrun_pct,avg_delay_days,on_time_delivery_rate,ghost_billing_flags,litigation_count,shell_risk_score,solvency_score,max_budget_handled_cr,budget_scale_ratio,blacklisted,is_fraud_or_default,eligibility_tier
32,24.82,184.3,0.683,0,1,25.7,58.9,5.36,3.14,0,1,DISQUALIFIED
33,2.41,48.1,0.919,0,0,3.4,85.0,229.33,0.85,0,0,APPROVED
34,12.4,61.8,0.663,0,2,31.4,68.2,33.03,0.87,0,0,CONDITIONAL
35,18.42,55.4,0.709,0,2,21.5,65.9,95.32,1.19,0,0,CONDITIONAL
36,55.95,190.8,0.301,3,5,65.8,37.0,18.46,1.65,1,1,DISQUALIFIED
37,20.17,79.5,0.65,0,2,30.2,74.8,53.01,1.17,0,0,CONDITIONAL
38,36.77,129.1,0.56,1,2,37.5,58.9,7.58,7.46,0,1,DISQUALIFIED
39,14.86,88.7,0.681,0,3,12.3,61.4,96.0,1.75,0,0,CONDITIONAL
40,23.12,44.5,0.85,0,1,26.8,70.0,83.33,1.59,0,0,CONDITIONAL
41,1.25,19.9,0.815,0,1,5.9,77.7,114.35,0.99,0,0,APPROVED
42,28.62,54.2,0.716,1,2,12.0,56.7,98.93,1.17,0,1,DISQUALIFIED
43,1.2,16.8,0.936,0,0,13.7,77.6,271.68,0.31,0,0,APPROVED
44,26.85,73.1,0.634,0,2,34.1,62.5,42.86,1.67,0,1,DISQUALIFIED
45,3.17,34.8,0.944,0,0,9.8,91.0,254.54,0.86,0,0,APPROVED
46,18.33,62.2,0.778,0,1,14.7,64.3,48.27,1.38,0,0,CONDITIONAL
47,3.85,48.1,0.968,0,0,3.3,96.0,420.14,1.15,0,0,APPROVED
48,22.23,63.8,0.75,1,3,16.4,40.7,14.41,6.96,0,1,DISQUALIFIED
49,51.55,154.2,0.314,4,5,80.5,26.2,18.2,1.41,1,1,DISQUALIFIED
50,27.14,163.1,0.611,1,3,22.4,51.3,8.23,7.75,0,1,DISQUALIFIED
51,22.27,36.9,0.577,0,2,23.0,70.4,61.61,1.65,0,0,CONDITIONAL
52,25.67,90.7,0.713,0,1,10.7,70.1,69.62,1.5,0,1,DISQUALIFIED
53,5.65,0.0,0.861,0,1,5.9,86.8,402.64,0.66,0,0,APPROVED
54,5.76,22.4,0.696,0,3,22.3,61.6,70.67,1.04,0,0,CONDITIONAL
55,0.25,27.3,0.957,0,0,10.3,79.0,136.53,0.34,0,0,APPROVED
56,2.27,7.8,0.892,0,0,2.7,85.6,142.85,0.63,0,0,APPROVED
57,17.39,66.1,0.741,0,3,33.0,56.2,42.15,1.61,0,0,CONDITIONAL
58,40.05,91.4,0.522,0,2,33.5,49.2,16.56,6.61,0,1,DISQUALIFIED
59,5.13,5.2,0.921,0,0,2.5,85.3,289.68,0.52,0,0,APPROVED
60,5.42,17.2,0.918,0,0,4.0,82.5,103.89,1.1,0,0,APPROVED
61,24.33,81.3,0.63,0,2,28.6,63.6,30.21,1.08,0,0,CONDITIONAL
62,2.99,33.9,1.0,0,0,14.8,88.9,156.75,0.39,0,0,APPROVED
63,1.37,12.7,0.89,0,0,13.6,76.8,286.03,0.67,0,0,APPROVED
64,37.63,205.7,0.189,5,7,92.0,22.0,15.13,3.74,1,1,DISQUALIFIED
65,7.98,78.6,0.647,0,1,22.7,59.8,29.19,1.41,0,0,CONDITIONAL
66,4.43,2.9,0.933,0,0,8.5,76.2,201.47,0.42,0,0,APPROVED
67,1.5,31.4,0.975,0,0,7.6,84.5,206.99,1.14,0,0,APPROVED
68,35.72,115.9,0.589,0,1,37.2,54.4,26.05,3.27,0,1,DISQUALIFIED
69,23.12,94.9,0.619,0,2,25.8,61.9,14.81,6.99,0,1,DISQUALIFIED
70,1.95,9.9,0.808,0,0,11.5,86.6,154.5,1.11,0,0,APPROVED
71,5.23,21.4,0.876,0,1,9.8,82.7,112.67,1.01,0,0,APPROVED
72,19.72,89.1,0.707,0,1,17.8,60.0,79.52,0.83,0,0,CONDITIONAL
73,20.87,73.3,0.783,0,2,13.2,62.9,83.78,0.95,0,0,CONDITIONAL
74,1.72,34.5,0.969,0,0,10.7,87.5,163.31,0.61,0,0,APPROVED
75,3.43,32.5,0.875,0,1,3.1,88.5,277.65,0.85,0,0,APPROVED
76,0.0,46.7,0.95,0,1,10.9,78.5,309.33,0.85,0,0,APPROVED
77,3.46,21.5,0.915,0,0,14.8,94.3,106.1,1.13,0,0,APPROVED
78,57.37,372.3,0.332,3,3,76.1,36.7,10.14,2.47,0,1,DISQUALIFIED
79,16.62,80.7,0.802,0,1,21.3,57.8,34.11,1.3,0,0,CONDITIONAL
80,0.95,16.5,0.955,0,0,9.9,75.3,348.59,0.46,0,0,APPROVED
81,44.77,153.6,0.5,2,5,71.9,39.2,16.15,1.92,0,1,DISQUALIFIED
82,18.36,47.2,0.709,0,1,23.1,63.8,52.06,1.36,0,0,CONDITIONAL
83,3.72,16.2,0.913,0,0,10.0,84.4,61.42,0.44,0,0,APPROVED
84,33.28,106.9,0.583,0,1,35.2,40.5,7.6,6.9,0,1,DISQUALIFIED
85,0.0,30.7,0.908,0,0,13.0,94.1,228.73,0.9,0,0,APPROVED
86,2.06,28.9,0.905,0,0,2.2,79.8,61.94,0.46,0,0,APPROVED
87,23.54,60.4,0.658,0,1,24.8,60.4,69.93,1.21,0,0,CONDITIONAL
88,24.29,21.2,0.656,1,2,13.5,72.4,58.99,1.69,0,1,DISQUALIFIED
89,24.36,108.0,0.611,0,1,19.2,60.9,29.61,5.39,0,1,DISQUALIFIED
90,0.0,0.0,0.948,0,0,10.1,94.1,142.89,0.31,0,0,APPROVED
91,7.05,43.6,0.87,0,1,6.9,83.8,283.51,0.34,0,0,APPROVED
92,4.28,14.8,0.93,0,0,4.4,84.0,179.91,0.62,0,0,APPROVED
93,33.74,48.6,0.75,1,2,21.4,40.8,11.56,5.77,0,1,DISQUALIFIED
94,2.24,58.4,0.915,0,0,11.8,77.5,83.81,0.96,0,0,APPROVED
95,14.24,110.3,0.757,0,2,16.8,66.8,48.88,0.89,0,0,CONDITIONAL
96,41.25,140.8,0.257,3,7,89.2,36.8,29.76,3.83,1,1,DISQUALIFIED
97,0.0,19.1,0.961,0,0,10.8,81.8,465.98,1.17,0,0,APPROVED
98,49.61,287.7,0.272,4,4,92.4,16.0,27.89,2.07,0,1,DISQUALIFIED
99,0.39,39.2,0.907,0,0,8.6,93.2,193.44,0.86,0,0,APPROVED
100,49.62,139.0,0.339,2,7,65.7,38.6,25.87,4.77,1,1,DISQUALIFIED
101,62.68,179.0,0.229,3,7,97.5,35.7,22.53,2.8,1,1,DISQUALIFIED
102,0.0,15.5,0.88,0,0,5.1,80.4,68.94,0.32,0,0,APPROVED
103,30.0,147.6,0.173,5,5,68.0,26.3,36.37,4.79,1,1,DISQUALIFIED
104,22.1,94.2,0.83,0,1,14.4,59.4,34.92,1.58,0,0,CONDITIONAL
105,6.55,11.4,0.878,0,0,4.1,80.1,291.64,0.83,0,0,APPROVED
106,20.83,49.7,0.669,1,3,31.6,71.2,72.42,1.35,0,1,DISQUALIFIED
107,0.0,1.1,0.964,0,0,2.1,80.1,357.47,0.37,0,0,APPROVED
108,36.59,90.0,0.193,3,5,76.5,33.3,26.97,2.21,1,1,DISQUALIFIED
109,37.33,124.8,0.621,0,2,35.4,55.5,23.82,3.37,0,1,DISQUALIFIED
110,56.58,210.0,0.295,3,5,70.3,37.1,34.96,3.13,0,1,DISQUALIFIED
111,3.48,20.7,0.852,0,0,8.6,92.9,98.14,0.98,0,0,APPROVED
112,22.48,62.6,0.722,0,3,12.6,73.7,75.03,0.87,0,0,CONDITIONAL
113,2.09,22.6,0.83,0,0,1.6,95.0,488.07,1.17,0,0,APPROVED
114,37.65,122.8,0.527,0,1,24.7,52.2,24.26,6.26,0,1,DISQUALIFIED
115,0.0,0.0,0.942,0,0,4.1,76.9,356.22,0.89,0,0,APPROVED
116,1.74,29.8,0.915,0,0,9.9,84.1,173.4,1.19,0,0,APPROVED
117,2.4,25.3,0.857,0,1,7.6,97.3,133.49,1.08,0,0,APPROVED
118,42.44,129.9,0.625,0,2,18.9,40.8,28.02,5.89,0,1,DISQUALIFIED
119,17.69,108.3,0.617,0,1,29.7,41.6,19.55,3.98,0,1,DISQUALIFIED
120,20.43,94.4,0.4,0,1,26.8,52.0,20.0,4.1,0,1,DISQUALIFIED
121,20.23,77.0,0.698,0,1,34.7,57.8,59.91,1.42,0,0,CONDITIONAL
122,22.29,102.3,0.583,0,2,17.6,48.8,5.83,2.93,0,1,DISQUALIFIED
123,3.49,4.1,0.969,0,0,3.3,77.4,336.39,0.94,0,0,APPROVED
124,4.56,47.2,0.938,0,1,11.0,93.4,202.75,1.03,0,0,APPROVED
125,3.29,34.3,0.91,0,0,8.4,91.8,86.73,0.35,0,0,APPROVED
126,6.29,4.5,0.894,0,0,10.2,86.5,299.91,0.95,0,0,APPROVED
127,0.18,28.5,0.895,0,0,4.6,85.6,440.72,0.95,0,0,APPROVED
128,30.12,44.7,0.49,0,3,16.2,61.7,19.47,4.91,0,1,DISQUALIFIED
129,38.79,108.7,0.563,0,2,42.4,45.3,20.57,5.97,0,1,DISQUALIFIED
130,36.84,124.1,0.511,1,1,22.1,64.3,9.52,7.2,0,1,DISQUALIFIED
131,21.26,55.7,0.762,0,2,14.1,62.8,97.55,1.06,0,0,CONDITIONAL
132,5.0,92.7,0.643,0,3,21.3,59.7,25.88,0.97,0,0,CONDITIONAL
133,23.98,52.7,0.575,0,2,14.2,58.4,22.93,1.54,0,0,CONDITIONAL
134,15.43,95.4,0.693,1,2,31.7,59.1,28.95,1.07,0,1,DISQUALIFIED
135,4.82,20.8,0.957,0,0,8.1,76.0,116.75,1.19,0,0,APPROVED
136,47.03,275.0,0.315,3,4,81.1,33.0,14.19,1.31,0,1,DISQUALIFIED
137,34.13,73.1,0.518,1,1,35.8,61.0,28.62,6.26,0,1,DISQUALIFIED
138,29.48,89.1,0.725,0,1,33.3,68.8,74.12,1.02,0,1,DISQUALIFIED
139,27.8,36.3,0.724,1,1,34.4,63.1,89.66,1.58,0,1,DISQUALIFIED
140,13.47,79.1,0.728,0,1,26.7,71.2,80.98,1.6,0,0,CONDITIONAL
141,2.62,21.9,0.911,0,0,6.1,84.1,362.96,0.65,0,0,APPROVED
142,3.04,10.4,0.854,0,0,2.0,88.9,350.7,0.86,0,0,APPROVED
143,23.89,56.9,0.55,0,1,19.5,63.0,66.41,1.33,0,0,CONDITIONAL
144,31.75,82.0,0.746,0,3,10.5,58.9,20.61,1.45,0,1,DISQUALIFIED
145,49.25,216.2,0.205,3,4,74.4,23.3,34.09,3.25,0,1,DISQUALIFIED
146,16.32,40.3,0.775,0,1,14.5,68.6,34.52,1.33,0,0,CONDITIONAL
147,29.6,77.2,0.72,0,1,34.0,63.8,20.04,7.01,0,1,DISQUALIFIED
148,47.1,177.9,0.214,3,4,92.7,39.3,20.6,2.1,1,1,DISQUALIFIED
149,2.26,38.7,0.886,0,0,7.3,88.5,125.61,0.96,0,0,APPROVED
150,51.35,208.9,0.267,2,5,85.0,29.8,16.96,2.69,1,1,DISQUALIFIED
151,13.18,106.0,0.834,0,3,13.2,57.1,77.95,1.38,0,0,CONDITIONAL
152,1.62,3.5,0.884,0,0,2.0,86.9,80.43,1.02,0,0,APPROVED
153,5.58,21.6,0.943,0,0,5.7,90.4,497.36,0.9,0,0,APPROVED
154,30.71,58.5,0.838,0,2,33.9,58.5,75.2,1.0,0,1,DISQUALIFIED
155,17.33,42.4,0.641,0,2,33.2,59.7,51.95,0.95,0,0,CONDITIONAL
156,62.83,224.4,0.358,4,4,85.6,17.4,32.66,1.69,1,1,DISQUALIFIED
157,17.29,78.9,0.51,1,2,24.2,49.9,16.18,5.8,0,1,DISQUALIFIED
158,16.57,64.8,0.767,1,3,15.2,73.6,29.31,1.62,0,1,DISQUALIFIED
159,4.42,29.0,0.895,0,0,3.4,91.0,205.74,1.18,0,0,APPROVED
160,16.58,59.4,0.716,1,3,22.2,67.1,81.18,0.97,0,1,DISQUALIFIED
161,11.61,57.4,0.651,0,1,34.1,66.0,97.27,1.23,0,0,CONDITIONAL
162,2.53,0.0,0.935,0,0,10.0,80.0,328.81,0.89,0,0,APPROVED
163,1.28,19.1,0.892,0,0,5.2,77.3,361.47,0.36,0,0,APPROVED
164,15.53,26.6,0.773,0,2,20.7,57.6,90.93,1.25,0,0,CONDITIONAL
165,0.07,0.0,0.947,0,0,1.2,84.6,266.6,0.32,0,0,APPROVED
166,4.9,11.8,0.94,0,0,4.0,75.3,158.54,1.18,0,0,APPROVED
167,27.85,130.3,0.592,0,3,17.9,52.2,8.75,4.29,0,1,DISQUALIFIED
168,18.27,40.0,0.536,0,2,38.6,62.3,28.88,6.83,0,1,DISQUALIFIED
169,1.49,47.4,0.954,0,0,13.6,85.6,336.74,0.89,0,0,APPROVED
170,42.15,298.1,0.436,2,4,70.0,34.9,25.37,3.78,0,1,DISQUALIFIED
171,2.09,22.8,0.853,0,0,11.8,90.2,133.34,0.46,0,0,APPROVED
172,0.57,37.8,0.956,0,0,1.3,76.9,485.54,0.57,0,0,APPROVED
173,13.78,162.5,0.548,0,2,34.3,53.3,6.05,7.83,0,1,DISQUALIFIED
174,25.49,160.9,0.75,0,3,34.7,43.2,13.46,7.6,0,1,DISQUALIFIED
175,0.39,0.0,1.0,0,1,4.4,77.8,138.86,1.1,0,0,APPROVED
176,11.38,86.5,0.653,1,2,33.0,60.0,80.4,1.26,0,1,DISQUALIFIED
177,36.89,135.7,0.476,0,3,43.1,41.1,9.12,3.22,0,1,DISQUALIFIED
178,33.03,91.5,0.639,0,3,37.0,53.6,19.76,5.3,0,1,DISQUALIFIED
179,7.53,29.4,0.936,0,0,3.2,85.6,54.2,0.52,0,0,APPROVED
180,37.0,155.1,0.538,0,2,37.0,55.4,9.7,4.45,0,1,DISQUALIFIED
181,26.66,110.5,0.502,1,1,24.8,43.7,12.64,7.32,0,1,DISQUALIFIED
182,55.78,171.0,0.1,4,7,84.6,25.6,22.38,3.84,0,1,DISQUALIFIED
183,25.0,50.7,0.714,0,2,11.6,66.6,64.92,1.36,0,0,CONDITIONAL
184,12.99,90.6,0.747,0,2,22.5,56.5,24.68,1.13,0,0,CONDITIONAL
185,37.48,133.9,0.4,0,1,28.0,42.2,10.52,5.79,0,1,DISQUALIFIED
186,36.01,74.2,0.75,0,2,18.6,50.2,26.0,4.61,0,1,DISQUALIFIED
187,10.48,73.7,0.587,0,1,30.8,60.5,61.45,1.1,0,0,CONDITIONAL
188,33.91,192.0,0.121,4,5,71.1,36.7,23.75,3.04,0,1,DISQUALIFIED
189,2.93,46.6,1.0,0,0,3.2,89.0,110.91,0.98,0,0,APPROVED
190,15.26,62.5,0.684,0,1,32.7,60.0,41.76,1.56,0,0,CONDITIONAL
191,1.68,19.8,0.925,0,0,5.9,95.7,59.82,0.9,0,0,APPROVED
192,34.43,262.1,0.29,2,4,73.6,34.7,39.44,2.17,1,1,DISQUALIFIED
193,0.0,56.2,0.924,0,0,2.6,78.5,151.39,0.53,0,0,APPROVED
194,52.17,281.1,0.5,2,7,88.9,16.8,31.24,3.27,0,1,DISQUALIFIED
195,10.4,63.6,0.664,0,2,23.6,56.2,61.0,1.61,0,0,CONDITIONAL
196,30.06,48.9,0.636,0,1,28.9,65.4,36.39,1.68,0,1,DISQUALIFIED
197,43.67,250.7,0.312,4,3,67.2,27.5,37.28,3.25,1,1,DISQUALIFIED
198,2.92,35.6,0.945,0,0,11.9,97.2,141.69,0.77,0,0,APPROVED
199,3.91,40.5,0.979,0,0,13.8,87.3,121.08,0.93,0,0,APPROVED
200,33.37,139.2,0.537,1,1,44.5,43.5,10.05,3.51,0,1,DISQUALIFIED
201,36.54,245.4,0.486,2,7,91.5,28.6,39.01,2.79,1,1,DISQUALIFIED
202,11.59,38.4,0.734,1,1,14.1,55.3,64.78,1.33,0,1,DISQUALIFIED
203,19.95,130.9,0.607,0,2,24.4,51.8,25.54,5.03,0,1,DISQUALIFIED
204,3.76,39.5,0.919,0,0,3.4,91.4,421.69,0.39,0,0,APPROVED
205,2.02,6.2,1.0,0,0,9.7,83.1,428.65,0.72,0,0,APPROVED
206,44.13,165.8,0.312,4,4,87.6,16.9,15.25,4.45,0,1,DISQUALIFIED
207,36.71,62.9,0.593,0,1,16.0,47.6,21.33,7.66,0,1,DISQUALIFIED
208,71.27,263.4,0.347,4,4,94.9,33.1,26.81,1.62,1,1,DISQUALIFIED
209,18.84,92.5,0.72,0,1,11.1,69.8,93.45,1.08,0,0,CONDITIONAL
210,47.24,250.8,0.254,4,5,65.6,41.0,31.8,2.36,1,1,DISQUALIFIED
211,3.92,47.6,0.909,0,0,7.6,81.9,319.26,0.57,0,0,APPROVED
212,2.13,34.3,1.0,0,1,3.6,76.8,157.78,1.02,0,0,APPROVED
213,3.18,37.4,0.874,0,0,13.7,90.4,423.18,1.09,0,0,APPROVED
214,19.43,20.0,0.754,0,1,29.3,67.0,91.4,1.24,0,0,CONDITIONAL
215,25.33,108.7,0.619,0,1,19.6,64.8,72.18,1.75,0,1,DISQUALIFIED
216,22.7,66.1,0.836,0,1,16.4,62.2,57.8,0.85,0,0,CONDITIONAL
217,2.45,0.0,0.943,0,0,3.9,86.9,52.48,0.31,0,0,APPROVED
218,0.0,36.3,0.891,0,0,8.2,81.8,469.29,0.66,0,0,APPROVED
219,0.78,24.0,0.925,0,1,7.9,91.2,496.77,0.42,0,0,APPROVED
220,0.0,0.0,0.827,0,0,13.7,91.4,323.56,0.58,0,0,APPROVED
221,29.45,88.5,0.509,0,2,26.1,43.0,15.47,6.63,0,1,DISQUALIFIED
222,3.86,16.6,0.887,0,1,10.4,90.6,212.86,0.83,0,0,APPROVED
223,4.77,23.5,0.968,0,0,2.7,95.8,79.9,0.78,0,0,APPROVED
224,3.72,19.5,0.91,0,0,7.8,88.3,69.68,0.41,0,0,APPROVED
225,25.59,43.3,0.778,0,1,26.8,60.5,44.51,1.59,0,1,DISQUALIFIED
226,4.07,27.9,0.944,0,1,13.8,84.9,193.49,0.82,0,0,APPROVED
227,6.96,31.7,0.871,0,0,7.0,78.3,450.54,0.61,0,0,APPROVED
228,6.71,20.7,0.912,0,0,5.8,76.6,234.33,0.58,0,0,APPROVED
229,8.23,96.8,0.85,0,1,10.7,65.1,97.12,1.18,0,0,CONDITIONAL
230,1.84,18.7,0.901,0,0,1.3,92.4,256.34,0.56,0,0,APPROVED
231,56.36,200.0,0.397,5,4,96.7,25.5,21.57,2.49,1,1,DISQUALIFIED
232,3.92,46.0,1.0,0,0,12.7,85.1,186.05,0.53,0,0,APPROVED
233,2.58,12.9,0.821,0,0,2.9,85.2,331.81,0.74,0,0,APPROVED
234,4.87,36.5,1.0,0,0,3.8,84.1,67.76,0.73,0,0,APPROVED
235,19.52,76.7,0.787,0,2,13.1,70.9,42.06,1.68,0,0,CONDITIONAL
236,49.18,212.5,0.163,5,4,93.5,30.9,21.26,2.29,0,1,DISQUALIFIED
237,30.4,40.0,0.75,1,3,27.2,60.7,24.11,5.65,0,1,DISQUALIFIED
238,44.76,208.2,0.265,4,4,92.9,39.1,11.87,4.56,1,1,DISQUALIFIED
239,21.94,69.9,0.699,0,2,27.3,57.7,43.95,1.16,0,0,CONDITIONAL
240,24.11,78.7,0.512,1,1,44.9,56.9,25.71,4.12,0,1,DISQUALIFIED
241,4.81,27.7,0.888,0,0,11.8,90.1,394.75,1.06,0,0,APPROVED
242,20.59,64.3,0.629,0,1,20.2,56.3,47.91,0.91,0,0,CONDITIONAL
243,28.3,131.3,0.534,0,2,36.2,41.3,6.82,4.72,0,1,DISQUALIFIED
244,2.45,8.5,0.873,0,0,14.0,84.3,457.75,0.59,0,0,APPROVED
245,21.81,34.0,0.705,0,2,13.1,72.8,60.25,1.25,0,0,CONDITIONAL
246,19.66,48.8,0.715,0,1,27.8,71.5,84.32,1.35,0,0,CONDITIONAL
247,20.35,52.3,0.698,0,1,25.7,56.1,79.89,1.12,0,0,CONDITIONAL
248,0.0,10.6,0.921,0,0,10.9,76.4,427.7,0.3,0,0,APPROVED
249,0.85,36.9,0.906,0,0,12.8,82.2,405.02,1.1,0,0,APPROVED
250,1.06,16.6,0.958,0,1,2.3,90.8,272.22,0.65,0,0,APPROVED
251,21.13,44.6,0.715,0,3,27.6,61.0,28.43,1.58,0,0,CONDITIONAL
252,18.41,61.5,0.664,1,2,20.8,64.2,36.71,1.17,0,1,DISQUALIFIED
253,6.09,15.2,0.9,0,0,7.6,95.2,147.08,0.91,0,0,APPROVED
254,20.9,46.4,0.667,0,2,17.9,67.9,51.61,1.51,0,0,CONDITIONAL
255,2.18,29.0,0.893,0,0,8.2,81.2,425.97,0.31,0,0,APPROVED
256,2.59,16.6,0.87,0,0,6.7,87.2,317.81,0.31,0,0,APPROVED
257,18.13,78.7,0.606,0,2,23.0,74.5,30.04,0.82,0,0,CONDITIONAL
258,39.14,101.7,0.599,0,1,23.8,59.3,17.95,4.41,0,1,DISQUALIFIED
259,3.41,20.8,0.929,0,0,7.4,84.2,186.31,0.36,0,0,APPROVED
260,3.61,18.5,0.838,0,0,7.6,76.3,481.01,1.15,0,0,APPROVED
261,28.21,118.1,0.454,0,1,33.7,59.5,19.46,3.31,0,1,DISQUALIFIED
262,21.84,64.6,0.738,0,1,25.4,62.9,12.26,5.08,0,1,DISQUALIFIED
263,44.16,229.1,0.196,2,7,82.5,21.5,25.02,3.78,0,1,DISQUALIFIED
264,8.22,17.3,0.989,0,0,7.1,76.0,124.59,0.7,0,0,APPROVED
265,1.93,28.8,0.84,0,0,9.3,76.7,330.05,1.18,0,0,APPROVED
266,4.16,26.4,0.921,0,0,3.3,86.0,373.25,0.52,0,0,APPROVED
267,12.26,76.8,0.819,0,1,10.2,62.1,94.1,1.03,0,0,CONDITIONAL
268,20.13,47.6,0.613,1,2,12.4,63.6,22.33,1.28,0,1,DISQUALIFIED
269,15.85,48.8,0.76,1,1,29.0,62.4,51.4,1.55,0,1,DISQUALIFIED
270,45.83,226.0,0.339,3,5,73.3,30.2,20.76,3.7,0,1,DISQUALIFIED
271,0.0,20.5,0.931,0,0,14.3,88.4,246.48,0.82,0,0,APPROVED
272,16.86,44.9,0.777,0,3,33.7,72.9,53.56,1.58,0,0,CONDITIONAL
273,9.29,64.7,0.6,0,3,15.2,56.4,25.52,1.74,0,0,CONDITIONAL
274,20.18,96.6,0.67,1,1,27.3,70.4,72.37,0.95,0,1,DISQUALIFIED
275,30.0,239.2,0.23,2,5,65.0,26.2,25.68,1.41,1,1,DISQUALIFIED
276,2.8,3.7,0.866,0,0,1.0,91.8,485.08,0.5,0,0,APPROVED
277,22.0,76.6,0.562,0,2,30.4,58.6,49.68,1.7,0,0,CONDITIONAL
278,21.22,161.1,0.408,0,1,31.3,57.7,9.18,6.79,0,1,DISQUALIFIED
279,21.9,27.4,0.784,0,1,22.8,65.2,49.54,1.73,0,0,CONDITIONAL
280,18.02,147.9,0.68,0,3,35.8,58.2,26.54,4.01,0,1,DISQUALIFIED
281,22.42,71.5,0.624,0,2,43.4,52.4,14.51,3.4,0,1,DISQUALIFIED
282,35.79,85.1,0.724,0,3,15.3,57.6,29.26,4.91,0,1,DISQUALIFIED
283,5.23,28.6,0.945,0,0,8.1,91.5,438.19,0.46,0,0,APPROVED
284,28.5,40.0,0.69,0,3,19.7,47.7,12.25,7.29,0,1,DISQUALIFIED
285,14.1,84.3,0.789,1,3,10.3,68.5,24.15,1.35,0,1,DISQUALIFIED
286,7.84,4.6,0.852,0,0,5.7,91.9,232.04,0.36,0,0,APPROVED
287,22.64,50.2,0.468,0,1,43.3,56.0,21.79,5.98,0,1,DISQUALIFIED
288,6.09,42.8,0.895,0,0,4.9,81.4,244.41,1.18,0,0,APPROVED
289,0.0,21.2,0.996,0,0,6.9,83.0,228.93,0.54,0,0,APPROVED
290,1.47,0.0,0.914,0,0,10.2,97.3,321.64,0.37,0,0,APPROVED
291,2.79,22.8,0.93,0,0,10.1,81.2,56.8,1.17,0,0,APPROVED
292,0.97,37.8,0.971,0,0,5.4,81.2,318.95,1.08,0,0,APPROVED
293,45.42,236.6,0.446,4,4,65.5,30.7,17.59,2.91,1,1,DISQUALIFIED
294,4.81,14.2,0.941,0,0,14.7,77.3,53.74,0.69,0,0,APPROVED
295,3.79,22.8,0.84,0,0,11.1,75.2,315.25,0.85,0,0,APPROVED
296,15.37,85.2,0.622,0,1,31.9,69.8,21.1,1.05,0,0,CONDITIONAL
297,0.71,7.5,0.917,0,0,9.5,90.5,86.52,1.16,0,0,APPROVED
298,20.84,127.5,0.627,1,2,21.0,55.4,23.57,6.56,0,1,DISQUALIFIED
