project_id,name,department,location,planned_duration_days,elapsed_duration_days,physical_progress,expected_progress,financial_progress,approved_budget,released_funds,expenditure,milestones_delayed,milestones_total,resource_availability,contractor_performance,material_availability,previous_delays,status,delay_occurred,delay_days
13,Railways Project #13,Railways,West Bengal,365,202,58.2,56.2,64.2,33380000.0,24990000.0,16040000.0,0,6,80.0,73.0,64.0,0,ON_TRACK,0,0
14,Road Transport & Highways Project #14,Road Transport & Highways,Rajasthan,270,53,7.8,15.3,31.4,472680000.0,213050000.0,66900000.0,1,6,50.8,37.6,70.5,1,AT_RISK,0,0
15,Power & Renewable Energy Project #15,Power & Renewable Energy,Gujarat,540,126,9.9,17.8,10.0,137740000.0,27490000.0,2750000.0,1,5,69.6,38.9,84.5,1,AT_RISK,0,0
16,Water Resources Project #16,Water Resources,Bihar,900,784,79.5,89.0,76.0,452250000.0,389170000.0,295770000.0,1,4,69.8,67.1,59.0,1,CRITICAL,1,109
17,Road Transport & Highways Project #17,Road Transport & Highways,Mizoram,180,189,84.4,95.9,80.3,279270000.0,250550000.0,201190000.0,2,10,65.2,47.5,86.9,0,CRITICAL,1,116
18,Power & Renewable Energy Project #18,Power & Renewable Energy,Uttar Pradesh,730,546,72.3,80.7,73.7,454110000.0,362430000.0,267110000.0,1,6,80.0,66.1,89.7,1,DELAYED,1,87
19,Health & Family Welfare Project #19,Health & Family Welfare,Manipur,270,211,76.2,85.4,81.6,232730000.0,216150000.0,176380000.0,0,6,93.9,71.7,60.5,1,ON_TRACK,0,0
20,Road Transport & Highways Project #20,Road Transport & Highways,Bihar,365,400,94.7,97.1,100.0,89680000.0,89680000.0,89680000.0,2,10,87.9,66.5,76.1,2,AT_RISK,0,0
21,Urban Development Project #21,Urban Development,Nagaland,540,291,43.1,58.2,68.1,498350000.0,391970000.0,266930000.0,3,10,63.7,73.4,54.0,2,AT_RISK,0,0
22,Railways Project #22,Railways,Maharashtra,365,128,18.8,27.7,34.0,321960000.0,143430000.0,48770000.0,1,6,59.8,33.0,71.9,1,AT_RISK,0,0
23,Power & Renewable Energy Project #23,Power & Renewable Energy,Arunachal Pradesh,540,570,91.8,96.7,93.7,296540000.0,296540000.0,277860000.0,1,8,93.8,77.0,81.1,1,DELAYED,1,69
24,Urban Development Project #24,Urban Development,Tripura,540,605,78.8,93.5,84.1,260710000.0,236390000.0,198800000.0,1,10,50.0,79.1,69.3,0,CRITICAL,1,132
25,Digital Governance Project #25,Digital Governance,West Bengal,540,613,85.9,96.0,86.9,61390000.0,60940000.0,52960000.0,1,8,77.4,82.4,80.2,0,CRITICAL,1,92
26,Education & Social Infrastructure Project #26,Education & Social Infrastructure,Odisha,365,167,31.1,45.5,39.4,467510000.0,207930000.0,81920000.0,2,10,53.7,31.6,75.6,1,CRITICAL,1,133
27,Power & Renewable Energy Project #27,Power & Renewable Energy,Bihar,270,255,73.6,90.2,86.8,356540000.0,354680000.0,307860000.0,2,10,61.6,49.7,63.9,0,CRITICAL,1,167
28,Water Resources Project #28,Water Resources,Bihar,540,263,44.0,46.4,45.1,467140000.0,280330000.0,126430000.0,0,5,97.0,82.3,60.6,0,ON_TRACK,0,0
29,Urban Development Project #29,Urban Development,Assam,730,513,43.3,78.4,54.9,157680000.0,106240000.0,58330000.0,2,4,69.7,37.8,72.1,2,CRITICAL,1,249
30,Education & Social Infrastructure Project #30,Education & Social Infrastructure,Meghalaya,540,567,83.8,94.4,79.3,289250000.0,265890000.0,210850000.0,1,6,59.3,76.1,67.7,0,AT_RISK,0,0
31,Health & Family Welfare Project #31,Health & Family Welfare,Arunachal Pradesh,540,268,34.2,47.7,39.9,217560000.0,103950000.0,41480000.0,2,6,92.4,57.0,43.1,2,CRITICAL,1,141
32,Health & Family Welfare Project #32,Health & Family Welfare,Gujarat,540,64,9.2,9.9,13.1,205510000.0,38320000.0,5020000.0,0,4,77.8,70.0,86.7,0,ON_TRACK,0,0
33,Road Transport & Highways Project #33,Road Transport & Highways,Uttar Pradesh,270,144,27.0,57.2,40.9,431710000.0,221250000.0,90490000.0,1,4,48.0,61.6,37.1,0,CRITICAL,1,182
34,Health & Family Welfare Project #34,Health & Family Welfare,West Bengal,180,107,50.8,62.4,61.0,22440000.0,15160000.0,9250000.0,0,5,54.6,73.4,57.9,1,AT_RISK,0,0
35,Digital Governance Project #35,Digital Governance,Assam,540,197,12.4,30.8,30.8,425580000.0,157580000.0,48530000.0,1,6,44.9,91.8,34.7,1,CRITICAL,1,133
36,Railways Project #36,Railways,Assam,730,335,32.6,42.5,48.4,136360000.0,74720000.0,36160000.0,1,6,45.7,77.5,63.8,0,DELAYED,1,84
37,Water Resources Project #37,Water Resources,Madhya Pradesh,540,441,83.1,83.6,90.7,208150000.0,208150000.0,188790000.0,0,5,55.8,74.5,78.7,1,DELAYED,1,38
38,Urban Development Project #38,Urban Development,Mizoram,730,125,11.1,11.8,20.4,85790000.0,27140000.0,5540000.0,0,5,53.5,83.5,73.3,0,ON_TRACK,1,16
39,Road Transport & Highways Project #39,Road Transport & Highways,Assam,540,444,69.5,87.8,86.8,426110000.0,401810000.0,348770000.0,1,4,62.4,59.1,44.4,1,CRITICAL,1,142
40,Road Transport & Highways Project #40,Road Transport & Highways,Madhya Pradesh,540,79,15.6,12.9,24.7,284730000.0,98260000.0,24270000.0,0,6,26.7,65.2,52.3,0,ON_TRACK,0,0
41,Digital Governance Project #41,Digital Governance,Odisha,540,509,87.6,96.0,91.3,143130000.0,143130000.0,130680000.0,0,4,80.3,81.9,80.5,0,ON_TRACK,0,0
42,Power & Renewable Energy Project #42,Power & Renewable Energy,Nagaland,730,75,5.4,7.3,30.0,443260000.0,181770000.0,54530000.0,1,10,56.6,79.4,41.8,2,AT_RISK,0,0
43,Education & Social Infrastructure Project #43,Education & Social Infrastructure,Mizoram,365,397,86.2,94.1,91.6,85410000.0,85410000.0,78240000.0,1,10,61.7,67.4,74.5,3,DELAYED,1,89
44,Road Transport & Highways Project #44,Road Transport & Highways,Mizoram,540,105,1.4,12.6,22.7,252620000.0,82120000.0,18640000.0,1,10,60.6,71.5,60.8,0,AT_RISK,0,0
45,Urban Development Project #45,Urban Development,Manipur,540,374,66.4,76.5,72.6,88770000.0,76150000.0,55280000.0,2,10,81.0,72.6,70.8,2,AT_RISK,0,0
46,Education & Social Infrastructure Project #46,Education & Social Infrastructure,Meghalaya,365,272,68.8,79.7,68.3,357000000.0,264090000.0,180370000.0,2,5,71.3,73.5,79.0,3,CRITICAL,1,111
47,Digital Governance Project #47,Digital Governance,Gujarat,900,1009,91.2,98.0,89.5,50370000.0,50370000.0,45080000.0,1,6,81.6,82.7,93.5,1,CRITICAL,1,99
48,Power & Renewable Energy Project #48,Power & Renewable Energy,Tamil Nadu,365,281,60.7,80.4,80.1,387750000.0,362730000.0,290550000.0,2,8,52.5,60.5,67.4,2,CRITICAL,1,177
49,Power & Renewable Energy Project #49,Power & Renewable Energy,Tripura,270,158,56.1,59.7,65.4,454830000.0,353140000.0,230950000.0,1,6,83.5,86.0,39.0,1,DELAYED,1,60
50,Road Transport & Highways Project #50,Road Transport & Highways,Rajasthan,270,168,60.1,69.0,56.7,321850000.0,221320000.0,125490000.0,2,4,72.9,63.7,94.4,2,AT_RISK,0,0
51,Education & Social Infrastructure Project #51,Education & Social Infrastructure,Uttar Pradesh,730,740,80.4,94.7,87.2,332770000.0,323390000.0,282000000.0,1,5,71.4,79.6,78.0,0,CRITICAL,1,122
52,Water Resources Project #52,Water Resources,Uttar Pradesh,540,100,12.7,12.1,27.4,24400000.0,8870000.0,2430000.0,0,8,66.0,59.7,61.9,0,ON_TRACK,0,0
53,Railways Project #53,Railways,Mizoram,365,142,38.3,39.8,38.7,300550000.0,136260000.0,52730000.0,1,6,76.1,76.1,71.8,2,AT_RISK,0,0
54,Power & Renewable Energy Project #54,Power & Renewable Energy,Meghalaya,900,98,0.0,3.0,4.1,184800000.0,26680000.0,1090000.0,0,4,67.1,87.6,78.0,1,ON_TRACK,0,0
55,Power & Renewable Energy Project #55,Power & Renewable Energy,Tamil Nadu,900,284,23.0,21.8,24.8,262640000.0,91110000.0,22600000.0,1,8,77.2,63.8,83.4,4,AT_RISK,0,0
56,Education & Social Infrastructure Project #56,Education & Social Infrastructure,Madhya Pradesh,270,293,81.7,97.8,88.6,460150000.0,458340000.0,406090000.0,3,10,57.7,69.1,74.9,2,AT_RISK,0,0
57,Road Transport & Highways Project #57,Road Transport & Highways,Meghalaya,1460,219,15.5,11.5,12.3,276800000.0,48050000.0,5910000.0,0,4,67.2,90.0,77.1,2,ON_TRACK,0,0
58,Education & Social Infrastructure Project #58,Education & Social Infrastructure,Tamil Nadu,540,274,37.3,50.6,41.0,271470000.0,141380000.0,57970000.0,1,5,60.8,54.2,81.2,0,AT_RISK,0,0
59,Urban Development Project #59,Urban Development,Madhya Pradesh,730,403,47.6,54.5,48.6,488600000.0,302110000.0,146830000.0,0,6,68.3,80.5,56.1,1,DELAYED,1,71
60,Education & Social Infrastructure Project #60,Education & Social Infrastructure,Madhya Pradesh,270,110,28.5,35.5,37.1,387270000.0,184600000.0,68490000.0,0,6,59.2,44.1,96.3,1,ON_TRACK,0,0
61,Railways Project #61,Railways,Mizoram,365,292,74.6,83.7,84.4,76860000.0,74060000.0,62510000.0,1,6,83.8,60.3,83.7,0,AT_RISK,0,0
62,Water Resources Project #62,Water Resources,Sikkim,730,85,16.8,14.3,33.5,44270000.0,19880000.0,6660000.0,0,5,85.1,30.7,68.5,1,ON_TRACK,0,0
63,Power & Renewable Energy Project #63,Power & Renewable Energy,Tripura,270,41,0.5,10.6,25.0,242690000.0,82090000.0,20520000.0,1,8,45.1,60.0,30.4,0,AT_RISK,0,0
64,Health & Family Welfare Project #64,Health & Family Welfare,Nagaland,730,662,75.9,93.5,74.5,259760000.0,227950000.0,169820000.0,1,5,48.1,78.8,82.3,0,CRITICAL,1,132
65,Urban Development Project #65,Urban Development,Bihar,540,375,53.8,76.3,77.1,291830000.0,253580000.0,195510000.0,1,4,25.0,78.6,84.2,1,AT_RISK,0,0
66,Health & Family Welfare Project #66,Health & Family Welfare,Assam,540,487,80.6,91.8,78.8,313600000.0,283190000.0,223150000.0,1,6,64.9,97.6,51.8,1,CRITICAL,1,105
67,Railways Project #67,Railways,Maharashtra,365,222,64.9,67.0,62.5,331300000.0,251720000.0,157320000.0,0,5,92.2,82.2,79.0,0,DELAYED,1,50
68,Health & Family Welfare Project #68,Health & Family Welfare,Tripura,365,195,48.5,56.2,56.2,58060000.0,38370000.0,21560000.0,0,8,78.3,76.6,56.4,0,ON_TRACK,0,0
69,Digital Governance Project #69,Digital Governance,Gujarat,540,267,28.2,47.4,44.1,310830000.0,154690000.0,68220000.0,3,10,57.5,37.5,70.4,3,CRITICAL,1,197
70,Road Transport & Highways Project #70,Road Transport & Highways,Nagaland,180,25,10.7,11.9,17.4,121640000.0,39120000.0,6810000.0,1,5,97.9,86.4,80.2,3,DELAYED,1,49
71,Power & Renewable Energy Project #71,Power & Renewable Energy,Rajasthan,180,199,87.3,99.3,88.1,90210000.0,86460000.0,76170000.0,1,8,72.9,85.1,58.2,1,CRITICAL,1,96
72,Health & Family Welfare Project #72,Health & Family Welfare,West Bengal,540,216,26.3,36.0,21.9,90760000.0,25610000.0,5610000.0,2,8,76.6,73.4,66.3,3,AT_RISK,0,0
73,Education & Social Infrastructure Project #73,Education & Social Infrastructure,Tamil Nadu,540,530,87.0,95.3,96.9,58600000.0,58600000.0,56780000.0,1,5,96.4,79.4,66.6,1,AT_RISK,0,0
74,Road Transport & Highways Project #74,Road Transport & Highways,Maharashtra,730,697,89.5,97.0,90.3,325250000.0,325250000.0,293700000.0,1,6,59.6,77.2,79.1,0,CRITICAL,1,92
75,Health & Family Welfare Project #75,Health & Family Welfare,Manipur,270,35,0.0,9.0,8.1,321880000.0,46960000.0,3800000.0,1,10,54.5,35.7,71.2,0,AT_RISK,0,0
76,Railways Project #76,Railways,Arunachal Pradesh,365,352,75.2,89.6,80.5,495650000.0,460820000.0,370960000.0,1,4,85.5,69.7,69.0,0,AT_RISK,0,0
77,Water Resources Project #77,Water Resources,Maharashtra,365,46,0.1,9.9,18.3,385100000.0,95850000.0,17540000.0,1,8,37.2,77.5,71.4,0,CRITICAL,1,93
78,Power & Renewable Energy Project #78,Power & Renewable Energy,Mizoram,180,71,35.9,32.8,42.5,52350000.0,26110000.0,11100000.0,0,6,64.0,50.4,81.9,0,ON_TRACK,0,0
79,Education & Social Infrastructure Project #79,Education & Social Infrastructure,Karnataka,1095,169,5.1,8.0,8.5,266460000.0,39030000.0,3320000.0,1,5,83.2,77.9,74.2,2,AT_RISK,0,0
80,Urban Development Project #80,Urban Development,Uttar Pradesh,730,493,58.0,71.4,60.5,176490000.0,130990000.0,79250000.0,2,5,88.5,71.5,45.7,2,CRITICAL,1,147
81,Health & Family Welfare Project #81,Health & Family Welfare,Tamil Nadu,365,372,69.7,95.2,82.8,150700000.0,144260000.0,119450000.0,2,8,56.5,52.3,78.1,0,CRITICAL,1,186
82,Road Transport & Highways Project #82,Road Transport & Highways,Tamil Nadu,270,281,62.1,90.7,82.1,484200000.0,463230000.0,380310000.0,2,4,75.6,37.3,57.8,0,CRITICAL,1,206
83,Digital Governance Project #83,Digital Governance,Assam,365,413,88.1,100.0,95.4,274990000.0,274990000.0,262340000.0,2,8,83.7,83.7,63.6,2,AT_RISK,0,0
84,Railways Project #84,Railways,Tamil Nadu,540,232,32.9,41.1,39.0,405040000.0,212390000.0,82830000.0,0,6,89.0,76.5,79.8,1,ON_TRACK,0,0
85,Power & Renewable Energy Project #85,Power & Renewable Energy,Karnataka,270,116,32.6,40.5,36.8,200980000.0,91640000.0,33720000.0,0,8,49.2,60.6,46.1,0,ON_TRACK,0,0
86,Health & Family Welfare Project #86,Health & Family Welfare,Tripura,365,344,76.8,92.7,88.0,117040000.0,110250000.0,97020000.0,1,8,66.9,48.8,50.5,1,CRITICAL,1,115
87,Digital Governance Project #87,Digital Governance,Assam,540,224,34.7,34.3,38.7,66320000.0,29600000.0,11460000.0,1,10,66.5,67.2,83.4,2,DELAYED,1,64
88,Railways Project #88,Railways,Assam,180,149,70.6,85.5,69.7,241720000.0,204350000.0,142430000.0,0,4,76.2,70.4,58.4,0,DELAYED,1,78
89,Health & Family Welfare Project #89,Health & Family Welfare,Manipur,365,216,54.8,60.6,53.1,204430000.0,119680000.0,63550000.0,0,4,89.5,77.0,36.6,0,ON_TRACK,0,0
90,Water Resources Project #90,Water Resources,West Bengal,540,118,14.0,15.8,19.3,66100000.0,18600000.0,3590000.0,1,8,48.0,65.3,85.8,2,AT_RISK,0,0
91,Urban Development Project #91,Urban Development,Tamil Nadu,365,324,76.8,89.9,72.0,216800000.0,173330000.0,124800000.0,1,4,78.3,61.5,94.5,0,CRITICAL,1,108
92,Water Resources Project #92,Water Resources,West Bengal,365,215,57.5,63.3,58.4,267650000.0,183390000.0,107100000.0,0,8,83.3,90.5,77.5,0,ON_TRACK,0,0
93,Power & Renewable Energy Project #93,Power & Renewable Energy,Nagaland,900,416,37.2,44.2,32.6,257670000.0,121720000.0,39680000.0,1,8,65.5,66.1,65.1,1,DELAYED,1,74
94,Urban Development Project #94,Urban Development,Maharashtra,365,156,44.0,37.0,41.5,130980000.0,71890000.0,29830000.0,0,6,86.7,67.7,79.8,0,ON_TRACK,0,0
95,Digital Governance Project #95,Digital Governance,Madhya Pradesh,270,43,10.7,7.9,8.7,203620000.0,28700000.0,2500000.0,0,4,73.7,63.7,94.6,1,ON_TRACK,0,0
96,Health & Family Welfare Project #96,Health & Family Welfare,Meghalaya,730,481,67.5,71.5,73.9,199400000.0,167520000.0,123800000.0,0,4,66.4,90.3,61.2,0,ON_TRACK,0,0
97,Road Transport & Highways Project #97,Road Transport & Highways,Rajasthan,540,305,60.0,62.6,68.1,268340000.0,213130000.0,145140000.0,0,10,81.6,66.7,88.0,0,ON_TRACK,0,0
98,Railways Project #98,Railways,Uttar Pradesh,365,117,25.1,24.3,21.3,209700000.0,63690000.0,13570000.0,0,6,70.0,71.4,64.3,0,ON_TRACK,0,0
99,Urban Development Project #99,Urban Development,Rajasthan,730,799,66.5,93.5,89.2,167530000.0,165800000.0,147890000.0,1,4,54.9,50.2,72.8,0,CRITICAL,1,164
100,Water Resources Project #100,Water Resources,West Bengal,730,737,87.4,98.1,95.6,413650000.0,413650000.0,395450000.0,1,4,64.7,55.7,92.8,0,AT_RISK,0,0
101,Education & Social Infrastructure Project #101,Education & Social Infrastructure,West Bengal,540,80,7.2,12.7,16.6,482400000.0,108510000.0,18010000.0,2,5,49.5,57.5,82.5,3,CRITICAL,1,105
102,Power & Renewable Energy Project #102,Power & Renewable Energy,Maharashtra,270,99,30.4,30.7,30.5,430890000.0,160980000.0,49100000.0,0,10,68.9,40.3,68.7,0,ON_TRACK,0,0
103,Education & Social Infrastructure Project #103,Education & Social Infrastructure,Meghalaya,365,288,65.6,86.3,72.8,190220000.0,149100000.0,108540000.0,1,5,80.5,45.0,39.7,1,CRITICAL,1,132
104,Railways Project #104,Railways,Rajasthan,365,385,60.1,96.2,65.6,74440000.0,58940000.0,38660000.0,4,10,65.9,70.2,43.7,1,CRITICAL,1,286
105,Road Transport & Highways Project #105,Road Transport & Highways,Meghalaya,270,150,43.6,57.6,41.7,84640000.0,47140000.0,19660000.0,3,10,80.7,76.0,54.5,2,CRITICAL,1,157
106,Power & Renewable Energy Project #106,Power & Renewable Energy,Madhya Pradesh,730,436,51.6,65.8,56.7,137350000.0,89490000.0,50740000.0,2,8,69.4,72.9,67.0,2,CRITICAL,1,149
107,Road Transport & Highways Project #107,Road Transport & Highways,Tamil Nadu,180,148,81.6,90.5,79.3,234710000.0,211020000.0,167340000.0,2,10,73.4,75.3,77.2,3,AT_RISK,0,0
108,Water Resources Project #108,Water Resources,Bihar,540,131,16.1,20.7,11.3,16950000.0,4170000.0,470000.0,1,10,69.9,61.6,83.3,3,AT_RISK,0,0
109,Railways Project #109,Railways,West Bengal,1095,709,54.8,69.6,54.6,425540000.0,284640000.0,155410000.0,1,6,87.2,49.2,67.2,0,CRITICAL,1,110
110,Water Resources Project #110,Water Resources,Tripura,900,90,10.2,9.5,8.6,478600000.0,72180000.0,6210000.0,1,10,96.7,30.0,79.0,2,DELAYED,1,47
111,Digital Governance Project #111,Digital Governance,Bihar,540,296,52.2,58.5,52.7,154670000.0,102850000.0,54200000.0,0,4,84.1,50.9,86.1,1,ON_TRACK,0,0
112,Digital Governance Project #112,Digital Governance,Manipur,180,155,81.9,89.1,79.9,109750000.0,93290000.0,74540000.0,0,8,48.6,95.7,65.1,0,DELAYED,1,42
113,Education & Social Infrastructure Project #113,Education & Social Infrastructure,Mizoram,1095,367,20.4,25.4,24.3,333900000.0,100450000.0,24410000.0,1,5,71.6,81.1,78.8,4,AT_RISK,0,0
114,Urban Development Project #114,Urban Development,Meghalaya,730,520,76.0,81.0,81.4,367200000.0,348900000.0,284000000.0,0,4,92.2,76.8,62.9,1,DELAYED,1,34
115,Road Transport & Highways Project #115,Road Transport & Highways,Madhya Pradesh,365,291,75.8,85.5,78.3,356030000.0,315600000.0,247110000.0,1,6,63.8,61.6,92.8,2,DELAYED,1,89
116,Digital Governance Project #116,Digital Governance,Arunachal Pradesh,270,299,64.1,95.7,68.2,101590000.0,74560000.0,50850000.0,5,10,79.4,74.3,38.0,4,CRITICAL,1,290
117,Road Transport & Highways Project #117,Road Transport & Highways,Arunachal Pradesh,365,317,80.9,91.5,87.2,59670000.0,56670000.0,49420000.0,1,5,68.2,76.0,88.7,1,AT_RISK,0,0
118,Road Transport & Highways Project #118,Road Transport & Highways,Manipur,180,116,61.4,67.8,57.6,47040000.0,33920000.0,19540000.0,0,6,82.7,87.0,65.3,1,ON_TRACK,0,0
119,Power & Renewable Energy Project #119,Power & Renewable Energy,Odisha,540,106,23.6,14.7,28.9,470140000.0,159690000.0,46150000.0,0,8,77.5,48.5,24.1,0,ON_TRACK,0,0
120,Road Transport & Highways Project #120,Road Transport & Highways,Madhya Pradesh,365,42,0.0,7.1,1.5,364490000.0,24020000.0,360000.0,2,8,47.7,71.8,82.7,3,AT_RISK,0,0
121,Road Transport & Highways Project #121,Road Transport & Highways,Uttar Pradesh,365,310,80.6,88.2,89.6,276680000.0,267280000.0,239480000.0,0,5,67.8,84.2,76.9,0,ON_TRACK,0,0
122,Education & Social Infrastructure Project #122,Education & Social Infrastructure,Rajasthan,365,331,68.9,92.9,88.5,303430000.0,289810000.0,256480000.0,3,10,63.6,52.8,46.8,2,CRITICAL,1,194
123,Power & Renewable Energy Project #123,Power & Renewable Energy,Tamil Nadu,365,309,73.7,83.5,77.0,134890000.0,120630000.0,92890000.0,0,5,74.2,69.5,80.3,0,ON_TRACK,0,0
124,Road Transport & Highways Project #124,Road Transport & Highways,Madhya Pradesh,365,386,85.4,98.2,89.6,88580000.0,88580000.0,79370000.0,2,10,66.7,76.7,80.4,2,AT_RISK,0,0
125,Power & Renewable Energy Project #125,Power & Renewable Energy,Tamil Nadu,540,297,53.8,60.6,53.5,91800000.0,55940000.0,29930000.0,1,6,72.0,70.0,93.4,1,AT_RISK,0,0
126,Health & Family Welfare Project #126,Health & Family Welfare,Manipur,1460,781,39.7,54.5,64.2,261020000.0,183610000.0,117880000.0,1,5,71.9,65.5,52.6,0,AT_RISK,0,0
127,Education & Social Infrastructure Project #127,Education & Social Infrastructure,West Bengal,1095,1002,78.8,93.8,78.1,270470000.0,238570000.0,186320000.0,2,6,76.0,64.1,62.6,2,AT_RISK,0,0
128,Water Resources Project #128,Water Resources,Tamil Nadu,540,96,6.8,12.1,7.1,192540000.0,24620000.0,1750000.0,0,8,85.4,60.7,96.6,0,ON_TRACK,0,0
129,Power & Renewable Energy Project #129,Power & Renewable Energy,Bihar,540,455,68.2,87.3,83.7,373700000.0,337820000.0,282760000.0,0,4,42.6,75.3,52.5,0,CRITICAL,1,110
130,Railways Project #130,Railways,West Bengal,365,268,71.1,78.6,77.3,283380000.0,249790000.0,193090000.0,1,5,85.5,94.1,46.3,2,AT_RISK,0,0
131,Railways Project #131,Railways,Gujarat,1095,605,52.7,59.1,62.4,395490000.0,297160000.0,185430000.0,2,8,56.6,89.5,90.2,2,CRITICAL,1,104
132,Road Transport & Highways Project #132,Road Transport & Highways,Nagaland,365,49,9.0,12.6,10.7,56510000.0,14520000.0,1550000.0,1,6,62.3,78.5,39.3,2,AT_RISK,0,0
133,Urban Development Project #133,Urban Development,Maharashtra,180,106,29.9,60.0,39.7,43970000.0,22460000.0,8920000.0,2,6,42.8,65.4,69.2,0,CRITICAL,1,220
134,Urban Development Project #134,Urban Development,Karnataka,540,580,89.3,93.9,94.8,327830000.0,327830000.0,310780000.0,1,6,62.6,77.8,72.6,0,AT_RISK,0,0
135,Education & Social Infrastructure Project #135,Education & Social Infrastructure,Mizoram,365,114,21.4,24.5,28.9,324860000.0,112680000.0,32560000.0,0,6,80.0,39.7,77.3,1,ON_TRACK,0,0
136,Digital Governance Project #136,Digital Governance,Bihar,180,23,10.3,8.1,18.0,40570000.0,10690000.0,1920000.0,0,10,85.6,57.8,67.5,0,ON_TRACK,0,0
137,Road Transport & Highways Project #137,Road Transport & Highways,West Bengal,900,976,85.4,96.7,85.7,340260000.0,310740000.0,266300000.0,1,10,75.3,79.6,88.1,0,CRITICAL,1,117
138,Railways Project #138,Railways,Arunachal Pradesh,900,236,16.6,19.3,23.9,37920000.0,12550000.0,3000000.0,0,4,44.5,80.7,87.1,0,DELAYED,1,34
139,Railways Project #139,Railways,Odisha,730,733,82.8,96.2,92.1,95990000.0,95990000.0,88410000.0,1,4,72.2,52.7,86.5,1,CRITICAL,1,126
140,Health & Family Welfare Project #140,Health & Family Welfare,Mizoram,1460,1575,69.3,96.4,92.8,448050000.0,448050000.0,415790000.0,2,6,49.4,60.7,75.5,0,CRITICAL,1,210
141,Health & Family Welfare Project #141,Health & Family Welfare,Uttar Pradesh,365,235,67.5,71.9,74.3,299070000.0,237350000.0,176350000.0,1,8,81.4,90.9,62.6,0,AT_RISK,0,0
142,Digital Governance Project #142,Digital Governance,Meghalaya,730,466,61.7,70.0,60.9,427960000.0,321760000.0,195950000.0,2,4,73.0,47.0,86.4,2,AT_RISK,0,0
143,Urban Development Project #143,Urban Development,Meghalaya,365,165,37.4,41.0,46.3,189280000.0,103120000.0,47740000.0,0,10,84.3,78.8,65.8,1,ON_TRACK,0,0
144,Health & Family Welfare Project #144,Health & Family Welfare,Manipur,730,252,21.3,28.7,30.8,15040000.0,6460000.0,1990000.0,0,4,71.6,81.5,66.3,1,ON_TRACK,0,0
145,Power & Renewable Energy Project #145,Power & Renewable Energy,Rajasthan,730,286,24.4,32.4,26.1,457480000.0,150940000.0,39400000.0,1,5,80.1,58.0,67.4,1,AT_RISK,0,0
146,Power & Renewable Energy Project #146,Power & Renewable Energy,Manipur,540,566,80.1,93.9,81.5,417170000.0,365850000.0,298170000.0,1,10,67.9,58.9,88.2,0,AT_RISK,0,0
147,Health & Family Welfare Project #147,Health & Family Welfare,Tamil Nadu,1095,267,19.1,15.6,42.7,50540000.0,25390000.0,10840000.0,0,10,61.3,57.5,68.4,1,ON_TRACK,1,15
