project_id,schedule_slippage_pct,financial_physical_gap,expenditure_burn_velocity,milestones_delayed_ratio,contractor_health_deficit,resource_deficit,material_deficit,previous_delays_count,is_doomed,doom_level
22,2.88,-1.86,0.103,0.024,13.2,15.4,14.8,0,0,STABLE
23,31.99,33.7,0.947,0.76,70.5,66.4,64.2,2,1,CRITICAL_DOOM
24,0.0,-2.26,0.684,0.059,18.4,14.5,16.9,0,0,STABLE
25,6.97,14.79,0.753,0.27,25.5,37.9,28.5,2,0,MODERATE_RISK
26,36.21,52.14,0.852,0.871,57.8,74.2,74.1,4,1,CRITICAL_DOOM
27,5.14,-0.37,0.29,0.025,13.4,19.0,15.4,0,0,STABLE
28,2.17,-3.57,0.626,0.111,15.5,15.5,10.4,0,0,STABLE
29,40.44,47.57,0.969,0.705,60.0,70.0,66.2,4,1,CRITICAL_DOOM
30,35.48,52.59,0.899,0.538,62.3,50.9,61.6,3,1,CRITICAL_DOOM
31,0.76,1.32,0.122,0.123,10.4,6.9,12.8,0,0,STABLE
32,0.0,1.87,0.131,0.08,13.1,14.6,15.9,1,0,STABLE
33,19.24,11.23,0.595,0.31,26.6,25.5,44.3,2,0,MODERATE_RISK
34,8.0,12.99,0.555,0.263,36.0,39.3,38.2,1,0,MODERATE_RISK
35,41.02,61.51,0.93,0.668,52.4,58.9,68.9,2,1,CRITICAL_DOOM
36,3.33,4.1,0.385,0.015,12.4,12.1,7.6,0,0,STABLE
37,6.63,6.29,0.127,0.056,14.4,12.5,17.8,0,0,STABLE
38,2.6,-1.4,0.116,0.088,19.1,13.6,10.8,0,0,STABLE
39,17.43,15.43,0.635,0.44,43.1,28.9,26.4,1,0,MODERATE_RISK
40,2.84,-1.49,0.143,0.048,17.7,5.3,17.2,0,0,STABLE
41,4.86,6.81,0.626,0.11,17.1,9.2,7.7,0,0,STABLE
42,37.83,46.17,0.898,0.811,55.2,73.3,71.5,3,1,CRITICAL_DOOM
43,34.74,47.62,0.967,0.702,69.8,58.0,72.4,3,1,CRITICAL_DOOM
44,2.97,0.48,0.67,0.086,14.5,11.7,9.4,0,0,STABLE
45,17.85,19.0,0.776,0.223,34.9,26.2,36.0,1,0,MODERATE_RISK
46,31.4,41.79,0.869,0.805,63.5,52.5,52.1,4,1,CRITICAL_DOOM
47,3.68,4.49,0.149,0.013,19.8,10.6,10.6,0,0,STABLE
48,32.25,42.87,0.951,0.723,57.7,72.7,52.8,3,1,CRITICAL_DOOM
49,0.0,0.81,0.171,0.018,14.7,16.2,13.8,1,0,STABLE
50,4.07,-0.6,0.234,0.144,5.2,19.5,5.6,1,0,STABLE
51,16.37,15.33,0.683,0.357,38.9,34.1,37.6,1,0,MODERATE_RISK
52,55.52,36.92,0.886,0.575,58.9,58.8,64.6,2,1,CRITICAL_DOOM
53,25.0,48.62,0.956,0.774,49.9,72.8,70.6,4,1,CRITICAL_DOOM
54,27.44,63.31,0.971,0.846,46.4,50.7,59.4,4,1,CRITICAL_DOOM
55,40.36,34.03,0.9,0.888,70.3,71.0,61.7,3,1,CRITICAL_DOOM
56,2.02,1.19,0.561,0.142,17.7,8.7,11.8,0,0,STABLE
57,27.05,50.35,0.937,0.747,55.7,52.8,66.8,3,1,CRITICAL_DOOM
58,47.43,45.68,0.922,0.724,71.3,60.1,53.4,2,1,CRITICAL_DOOM
59,49.91,53.78,0.878,0.555,45.4,58.8,64.7,3,1,CRITICAL_DOOM
60,12.65,19.31,0.68,0.396,32.9,37.4,42.2,2,0,MODERATE_RISK
61,1.96,4.19,0.255,0.069,19.7,12.4,9.9,0,0,STABLE
62,3.1,-2.76,0.209,0.052,18.5,12.1,15.0,0,0,STABLE
63,0.0,-1.24,0.153,0.018,11.9,8.1,10.5,0,0,STABLE
64,10.5,16.28,0.806,0.43,26.2,30.5,41.1,2,0,MODERATE_RISK
65,0.36,-3.91,0.391,0.093,10.5,11.9,16.2,0,0,STABLE
66,3.73,2.25,0.407,0.08,6.6,11.7,13.0,0,0,STABLE
67,1.44,0.81,0.293,0.032,9.9,6.8,18.4,0,0,STABLE
68,13.96,23.88,0.53,0.334,36.7,39.9,33.6,1,0,MODERATE_RISK
69,6.19,-4.24,0.442,0.053,19.8,14.1,8.6,0,0,STABLE
70,0.05,-0.95,0.212,0.043,7.6,18.5,6.2,0,0,STABLE
71,15.95,14.49,0.803,0.404,30.2,28.4,38.4,2,0,MODERATE_RISK
72,5.65,18.26,0.769,0.247,31.5,33.5,35.2,1,0,MODERATE_RISK
73,0.0,4.19,0.449,0.023,12.2,13.0,5.8,0,0,STABLE
74,5.02,-1.31,0.253,0.102,16.4,13.9,12.1,0,0,STABLE
75,2.51,1.36,0.209,0.01,16.1,13.6,17.6,0,0,STABLE
76,34.1,40.67,0.871,0.826,65.0,63.1,59.0,4,1,CRITICAL_DOOM
77,1.25,6.2,0.326,0.069,9.5,16.2,12.5,0,0,STABLE
78,44.64,25.0,0.968,0.75,48.5,73.5,65.7,3,1,CRITICAL_DOOM
79,3.53,5.99,0.42,0.134,16.8,7.3,9.7,0,0,STABLE
80,38.57,40.22,0.949,0.851,55.3,70.5,52.8,4,1,CRITICAL_DOOM
81,5.86,-0.78,0.19,0.034,15.8,15.8,14.6,0,0,STABLE
82,10.13,7.53,0.564,0.427,36.7,33.0,34.2,2,0,MODERATE_RISK
83,2.54,11.57,0.467,0.003,18.1,19.0,13.5,0,0,STABLE
84,31.68,49.71,0.925,0.743,57.7,68.4,73.4,4,1,CRITICAL_DOOM
85,26.69,18.14,0.64,0.214,31.7,41.1,25.1,1,0,MODERATE_RISK
86,4.47,1.29,0.308,0.052,16.1,11.8,8.4,0,0,STABLE
87,1.98,-4.28,0.351,0.137,10.4,13.7,14.5,0,0,STABLE
88,12.66,8.36,0.53,0.449,35.0,36.9,26.3,2,0,MODERATE_RISK
89,1.66,1.62,0.214,0.005,12.1,13.5,6.0,0,0,STABLE
90,5.0,21.55,0.64,0.34,28.1,28.6,42.2,2,0,MODERATE_RISK
91,4.5,-4.31,0.345,0.004,7.3,15.7,14.9,0,0,STABLE
92,4.17,-3.52,0.112,0.016,17.0,7.7,14.8,0,0,STABLE
93,4.44,-2.76,0.613,0.125,11.0,15.0,8.1,0,0,STABLE
94,40.61,32.49,0.905,0.857,69.5,58.5,56.5,3,1,CRITICAL_DOOM
95,17.78,6.52,0.643,0.338,33.7,30.9,44.0,2,0,MODERATE_RISK
96,1.89,5.41,0.637,0.12,11.4,5.3,9.0,0,0,STABLE
97,10.89,12.49,0.792,0.446,35.5,28.4,30.4,1,0,MODERATE_RISK
98,39.57,35.22,0.886,0.722,64.5,70.7,55.2,2,1,CRITICAL_DOOM
99,6.86,7.28,0.499,0.026,18.7,11.3,10.7,0,0,STABLE
100,3.55,-1.9,0.15,0.09,8.7,10.8,9.3,0,0,STABLE
101,42.59,27.46,0.912,0.765,73.1,68.3,55.4,2,1,CRITICAL_DOOM
102,0.27,1.49,0.398,0.09,10.0,16.6,6.6,0,0,STABLE
103,53.8,44.53,0.907,0.599,69.6,70.0,67.4,2,1,CRITICAL_DOOM
104,10.36,13.51,0.821,0.234,44.0,33.9,28.7,1,0,MODERATE_RISK
105,44.53,51.19,0.936,0.777,70.5,56.2,62.2,2,1,CRITICAL_DOOM
106,41.44,47.08,0.873,0.727,72.5,50.8,67.4,2,1,CRITICAL_DOOM
107,47.03,44.2,0.96,0.628,69.9,50.9,64.9,2,1,CRITICAL_DOOM
108,2.67,-0.91,0.304,0.109,6.0,9.7,13.1,0,0,STABLE
109,4.6,2.13,0.47,0.035,5.4,18.1,5.3,1,0,STABLE
110,11.41,23.46,0.668,0.357,42.5,44.7,40.4,1,0,MODERATE_RISK
111,9.64,19.76,0.539,0.289,30.7,30.9,29.7,1,0,MODERATE_RISK
112,1.9,1.94,0.331,0.102,8.3,19.2,16.8,0,0,STABLE
113,25.55,11.02,0.558,0.448,29.6,43.9,38.0,2,0,MODERATE_RISK
114,10.81,11.81,0.577,0.247,40.6,32.0,26.2,2,0,MODERATE_RISK
115,35.01,33.26,0.949,0.778,49.6,70.4,55.6,2,1,CRITICAL_DOOM
116,21.74,25.78,0.532,0.419,30.3,27.6,42.8,2,0,MODERATE_RISK
117,42.35,55.84,0.922,0.535,57.3,59.3,56.5,4,1,CRITICAL_DOOM
118,11.41,16.34,0.798,0.324,34.6,36.8,41.5,1,0,MODERATE_RISK
119,5.8,17.78,0.808,0.399,38.2,42.0,42.3,2,0,MODERATE_RISK
120,46.53,56.69,0.93,0.801,49.8,72.0,71.8,2,1,CRITICAL_DOOM
121,35.04,36.66,0.947,0.564,69.5,70.8,62.7,2,1,CRITICAL_DOOM
122,2.57,1.19,0.479,0.039,14.5,13.1,16.7,0,0,STABLE
123,42.3,45.48,0.894,0.753,73.0,52.6,73.4,3,1,CRITICAL_DOOM
124,5.22,-3.11,0.14,0.087,10.2,14.3,5.7,1,0,STABLE
125,40.94,39.74,0.853,0.509,54.7,62.2,69.3,3,1,CRITICAL_DOOM
126,6.76,5.0,0.557,0.399,38.9,29.4,26.6,2,0,MODERATE_RISK
127,12.89,8.12,0.83,0.305,37.8,33.0,30.5,2,0,MODERATE_RISK
128,12.79,17.11,0.575,0.208,38.0,32.4,42.3,1,0,MODERATE_RISK
129,40.16,42.7,0.951,0.808,70.3,69.0,65.7,2,1,CRITICAL_DOOM
130,2.59,3.84,0.578,0.072,6.8,6.9,15.3,0,0,STABLE
131,0.0,0.94,0.449,0.04,17.0,9.7,11.8,0,0,STABLE
132,0.64,-8.7,0.46,0.044,15.4,17.9,16.7,0,0,STABLE
133,12.68,12.58,0.845,0.236,35.0,37.4,39.0,1,0,MODERATE_RISK
134,2.63,-7.17,0.153,0.053,5.5,6.2,11.0,0,0,STABLE
135,18.94,18.74,0.57,0.242,27.1,37.7,39.1,1,0,MODERATE_RISK
136,38.48,38.53,0.942,0.848,66.4,70.0,58.5,4,1,CRITICAL_DOOM
137,2.34,4.8,0.59,0.068,14.7,12.9,16.0,0,0,STABLE
138,0.05,-0.94,0.623,0.033,19.6,10.1,7.7,0,0,STABLE
139,28.83,14.42,0.752,0.257,44.9,44.5,38.0,1,0,MODERATE_RISK
140,12.71,5.0,0.804,0.382,39.9,33.5,31.9,1,0,MODERATE_RISK
141,25.51,65.02,0.944,0.695,71.2,72.5,60.5,2,1,CRITICAL_DOOM
142,21.38,23.28,0.757,0.233,39.3,43.2,28.6,1,0,MODERATE_RISK
143,40.59,42.09,0.914,0.599,71.1,61.1,62.9,3,1,CRITICAL_DOOM
144,12.19,8.28,0.839,0.265,38.1,31.5,40.5,1,0,MODERATE_RISK
145,25.55,42.28,0.86,0.568,60.6,58.4,70.7,3,1,CRITICAL_DOOM
146,6.5,4.4,0.2,0.025,5.6,16.0,15.0,0,0,STABLE
147,40.9,57.99,0.963,0.582,48.4,56.7,51.4,3,1,CRITICAL_DOOM
148,43.86,44.19,0.891,0.703,46.2,53.7,74.7,4,1,CRITICAL_DOOM
149,2.42,2.81,0.621,0.068,12.7,12.3,15.0,0,0,STABLE
150,5.32,-3.16,0.221,0.101,19.5,6.4,15.1,0,0,STABLE
151,42.38,35.83,0.959,0.878,65.5,62.4,65.4,4,1,CRITICAL_DOOM
152,19.53,22.12,0.575,0.365,32.9,38.0,27.1,2,0,MODERATE_RISK
153,46.04,42.48,0.952,0.727,67.2,72.0,60.1,3,1,CRITICAL_DOOM
154,16.99,19.21,0.779,0.309,41.4,27.4,35.9,1,0,MODERATE_RISK
155,0.0,-5.57,0.517,0.058,11.7,8.6,10.6,0,0,STABLE
156,6.93,5.04,0.472,0.07,10.7,18.0,12.8,0,0,STABLE
157,0.0,-5.13,0.339,0.087,13.0,14.1,16.5,0,0,STABLE
158,44.07,47.81,0.882,0.871,46.8,73.4,58.8,2,1,CRITICAL_DOOM
159,9.65,9.09,0.608,0.401,35.8,31.2,37.2,2,0,MODERATE_RISK
160,0.0,0.1,0.209,0.102,7.7,12.9,15.6,0,0,STABLE
161,20.99,14.55,0.693,0.211,37.7,44.0,37.0,2,0,MODERATE_RISK
162,32.38,38.37,0.929,0.664,70.2,72.5,58.8,2,1,CRITICAL_DOOM
163,44.42,39.4,0.905,0.767,47.9,65.6,61.3,3,1,CRITICAL_DOOM
164,3.9,2.66,0.23,0.014,5.4,14.6,14.1,0,0,STABLE
165,6.38,-5.74,0.398,0.148,7.0,15.4,11.1,0,0,STABLE
166,42.55,61.28,0.886,0.532,47.6,72.4,54.8,3,1,CRITICAL_DOOM
167,0.24,0.21,0.411,0.01,17.0,8.5,13.1,1,0,STABLE
168,5.0,17.24,0.617,0.367,44.9,38.2,36.2,2,0,MODERATE_RISK
169,14.48,10.91,0.835,0.244,38.8,29.0,35.7,1,0,MODERATE_RISK
170,10.32,22.42,0.733,0.399,43.5,29.7,33.0,1,0,MODERATE_RISK
171,38.58,52.8,0.959,0.708,63.7,52.2,68.9,2,1,CRITICAL_DOOM
172,43.66,54.57,0.855,0.621,52.9,59.0,52.2,4,1,CRITICAL_DOOM
173,9.76,5.39,0.657,0.35,35.3,43.4,34.9,2,0,MODERATE_RISK
174,38.65,44.01,0.899,0.851,71.0,70.1,69.8,3,1,CRITICAL_DOOM
175,0.0,-0.41,0.517,0.052,19.6,14.6,17.3,0,0,STABLE
176,37.8,53.18,0.929,0.806,50.2,62.6,60.0,2,1,CRITICAL_DOOM
177,3.52,1.22,0.359,0.047,12.6,11.6,6.6,0,0,STABLE
178,6.59,5.88,0.191,0.009,16.7,11.9,5.9,1,0,STABLE
179,0.31,-0.64,0.173,0.045,6.5,15.4,5.9,0,0,STABLE
180,41.5,56.91,0.89,0.75,60.8,60.7,53.3,4,1,CRITICAL_DOOM
181,11.46,7.97,0.645,0.407,39.7,40.4,25.2,1,0,MODERATE_RISK
182,11.27,17.35,0.687,0.254,25.2,29.8,44.5,2,0,MODERATE_RISK
183,30.05,44.69,0.921,0.682,70.3,52.5,62.2,2,1,CRITICAL_DOOM
184,1.48,7.85,0.326,0.059,11.9,16.8,18.4,1,0,STABLE
185,47.14,33.79,0.907,0.602,70.2,51.0,72.5,3,1,CRITICAL_DOOM
186,17.71,16.8,0.723,0.353,26.3,35.4,28.0,2,0,MODERATE_RISK
187,12.86,15.54,0.53,0.379,26.4,26.4,25.2,2,0,MODERATE_RISK
188,27.22,35.28,0.895,0.81,64.8,54.6,54.4,2,1,CRITICAL_DOOM
189,10.09,20.28,0.507,0.221,44.4,30.9,40.4,2,0,MODERATE_RISK
190,1.03,-0.0,0.469,0.116,14.7,13.0,5.6,1,0,STABLE
191,49.64,62.99,0.947,0.825,64.7,53.2,58.5,4,1,CRITICAL_DOOM
192,0.0,-6.87,0.364,0.092,19.1,8.6,6.8,0,0,STABLE
193,27.28,54.13,0.956,0.845,70.4,73.0,56.3,4,1,CRITICAL_DOOM
194,16.45,19.41,0.772,0.364,28.5,35.9,44.7,2,0,MODERATE_RISK
195,1.72,0.66,0.536,0.123,8.2,12.6,17.6,0,0,STABLE
196,15.2,30.61,0.604,0.341,38.8,42.5,37.7,2,0,MODERATE_RISK
197,1.25,0.92,0.248,0.109,19.9,6.5,11.0,0,0,STABLE
198,7.01,2.58,0.47,0.028,10.3,16.8,13.3,0,0,STABLE
199,26.4,33.94,0.869,0.622,71.3,74.9,59.2,3,1,CRITICAL_DOOM
200,39.8,54.33,0.901,0.665,65.9,50.1,65.5,3,1,CRITICAL_DOOM
201,39.45,36.64,0.913,0.757,46.9,64.5,64.0,3,1,CRITICAL_DOOM
202,19.12,18.56,0.594,0.406,35.0,26.5,26.2,1,0,MODERATE_RISK
203,45.58,51.82,0.917,0.676,49.4,58.2,60.9,2,1,CRITICAL_DOOM
204,6.54,3.52,0.699,0.14,14.6,11.3,14.5,0,0,STABLE
205,5.44,-0.22,0.33,0.086,13.8,7.8,10.4,0,0,STABLE
206,2.42,-6.07,0.279,0.141,8.9,11.4,18.1,0,0,STABLE
207,1.42,6.56,0.39,0.02,6.2,15.9,12.4,0,0,STABLE
208,33.18,49.69,0.929,0.554,67.5,66.4,73.9,2,1,CRITICAL_DOOM
209,0.0,-2.57,0.248,0.136,8.7,9.1,16.4,0,0,STABLE
210,37.83,37.53,0.854,0.525,72.2,53.5,63.3,3,1,CRITICAL_DOOM
211,2.74,1.35,0.436,0.141,5.8,11.3,8.9,0,0,STABLE
212,44.35,32.46,0.876,0.726,58.9,74.3,65.2,3,1,CRITICAL_DOOM
213,0.72,-1.17,0.251,0.128,13.4,12.9,6.7,1,0,STABLE
214,39.41,41.33,0.921,0.533,58.7,62.1,54.1,4,1,CRITICAL_DOOM
215,34.41,65.1,0.904,0.76,61.4,51.6,62.8,4,1,CRITICAL_DOOM
216,10.77,10.2,0.558,0.283,40.1,35.4,29.1,2,0,MODERATE_RISK
217,35.12,50.11,0.909,0.894,68.2,50.7,51.6,3,1,CRITICAL_DOOM
218,36.56,76.93,0.864,0.763,69.7,59.5,69.4,4,1,CRITICAL_DOOM
219,0.0,1.8,0.576,0.087,14.5,17.0,10.9,1,0,STABLE
220,16.42,9.92,0.778,0.279,42.1,43.1,30.5,2,0,MODERATE_RISK
221,0.36,-1.06,0.636,0.098,7.3,11.6,14.2,0,0,STABLE
222,38.19,59.12,0.976,0.667,74.5,66.7,65.9,2,1,CRITICAL_DOOM
223,28.49,42.45,0.852,0.724,60.8,68.0,72.3,2,1,CRITICAL_DOOM
224,40.71,42.05,0.956,0.716,66.3,57.9,61.8,4,1,CRITICAL_DOOM
225,13.54,5.0,0.79,0.284,28.5,39.2,41.5,1,0,MODERATE_RISK
226,0.82,-2.69,0.37,0.112,14.8,14.3,10.3,0,0,STABLE
227,14.19,15.81,0.544,0.369,31.5,38.7,26.4,1,0,MODERATE_RISK
228,42.69,40.25,0.886,0.757,65.8,62.8,57.6,2,1,CRITICAL_DOOM
229,5.09,-4.27,0.663,0.131,16.5,16.8,15.0,0,0,STABLE
230,43.38,64.0,0.864,0.679,58.8,71.6,63.7,3,1,CRITICAL_DOOM
231,36.5,35.57,0.855,0.796,72.5,57.0,71.5,2,1,CRITICAL_DOOM
232,43.91,51.15,0.852,0.885,66.8,57.6,70.7,2,1,CRITICAL_DOOM
233,40.72,38.54,0.92,0.539,52.3,50.3,61.7,3,1,CRITICAL_DOOM
234,8.73,8.59,0.76,0.212,43.1,42.0,38.4,1,0,MODERATE_RISK
235,43.87,38.51,0.855,0.733,74.9,71.4,63.0,2,1,CRITICAL_DOOM
236,30.58,47.38,0.862,0.864,65.1,70.7,72.0,3,1,CRITICAL_DOOM
237,5.0,10.87,0.652,0.393,37.0,42.9,33.9,2,0,MODERATE_RISK
238,22.2,19.45,0.583,0.328,27.1,32.7,34.8,2,0,MODERATE_RISK
239,49.83,51.11,0.916,0.754,47.1,56.4,59.0,3,1,CRITICAL_DOOM
240,0.71,-1.77,0.683,0.05,12.2,7.9,14.2,0,0,STABLE
241,1.39,1.03,0.105,0.033,5.6,6.6,10.1,0,0,STABLE
242,5.0,15.69,0.826,0.299,26.7,37.3,27.3,1,0,MODERATE_RISK
243,13.91,21.46,0.746,0.448,27.6,30.5,32.9,1,0,MODERATE_RISK
244,15.34,18.05,0.713,0.277,41.5,44.1,41.4,1,0,MODERATE_RISK
245,14.72,11.31,0.74,0.229,32.7,34.1,32.4,1,0,MODERATE_RISK
246,13.34,15.46,0.528,0.289,43.8,38.4,38.6,1,0,MODERATE_RISK
247,15.03,19.55,0.806,0.381,27.4,43.0,26.3,1,0,MODERATE_RISK
248,1.9,0.17,0.277,0.073,13.7,5.7,6.8,0,0,STABLE
249,4.57,6.15,0.607,0.104,11.4,15.1,9.1,0,0,STABLE
250,49.14,42.5,0.957,0.843,72.5,60.8,58.0,3,1,CRITICAL_DOOM
251,6.76,4.12,0.513,0.056,7.5,11.5,7.1,1,0,STABLE
252,5.93,6.58,0.304,0.011,11.1,9.7,15.2,0,0,STABLE
253,7.67,-0.85,0.184,0.073,5.4,12.6,19.5,0,0,STABLE
254,1.73,-0.48,0.196,0.004,16.3,11.9,9.3,1,0,STABLE
255,1.72,1.92,0.633,0.09,17.4,19.8,9.3,1,0,STABLE
256,0.0,-3.51,0.425,0.023,13.3,13.1,16.4,0,0,STABLE
257,8.68,9.76,0.568,0.214,31.8,30.4,44.3,1,0,MODERATE_RISK
258,0.0,1.96,0.366,0.094,12.3,11.0,19.9,1,0,STABLE
259,23.8,21.76,0.57,0.299,25.8,34.5,35.9,1,0,MODERATE_RISK
260,40.03,49.68,0.919,0.848,48.9,69.8,53.1,4,1,CRITICAL_DOOM
261,1.63,-3.69,0.689,0.073,18.0,13.8,10.6,0,0,STABLE
262,0.21,6.5,0.407,0.074,13.7,18.0,19.7,0,0,STABLE
263,41.32,59.92,0.974,0.58,48.3,71.3,61.0,4,1,CRITICAL_DOOM
264,42.75,25.0,0.931,0.871,45.6,61.9,67.2,4,1,CRITICAL_DOOM
265,11.95,10.52,0.626,0.401,30.6,29.2,44.1,1,0,MODERATE_RISK
266,45.63,50.13,0.888,0.506,67.1,70.9,68.5,2,1,CRITICAL_DOOM
267,43.58,56.82,0.95,0.838,63.4,52.2,62.2,2,1,CRITICAL_DOOM
268,10.62,14.13,0.622,0.228,41.2,44.0,26.4,2,0,MODERATE_RISK
269,11.68,13.68,0.675,0.399,39.1,26.0,26.5,1,0,MODERATE_RISK
270,0.0,-2.76,0.582,0.139,11.1,18.6,9.8,0,0,STABLE
271,2.24,1.09,0.462,0.054,14.7,6.8,18.3,0,0,STABLE
272,23.0,22.43,0.525,0.371,29.8,39.3,41.5,2,0,MODERATE_RISK
273,8.22,15.39,0.771,0.268,34.9,30.7,27.7,2,0,MODERATE_RISK
274,0.0,5.48,0.1,0.077,5.7,9.1,15.6,0,0,STABLE
275,31.13,56.26,0.863,0.644,53.1,71.1,57.8,4,1,CRITICAL_DOOM
276,44.81,43.63,0.899,0.886,47.7,67.2,62.3,3,1,CRITICAL_DOOM
277,16.61,10.1,0.733,0.442,40.2,44.0,39.1,1,0,MODERATE_RISK
278,3.85,5.82,0.129,0.054,19.4,12.5,11.5,0,0,STABLE
279,0.0,-4.67,0.131,0.115,11.2,17.3,17.8,0,0,STABLE
280,19.2,14.55,0.576,0.369,37.2,30.9,27.7,2,0,MODERATE_RISK
281,46.6,31.31,0.901,0.785,51.0,72.3,57.2,3,1,CRITICAL_DOOM
282,2.12,-3.01,0.261,0.125,5.2,10.7,10.1,0,0,STABLE
283,1.35,-9.56,0.343,0.08,13.9,5.1,12.0,1,0,STABLE
284,8.1,21.69,0.771,0.393,35.4,44.5,27.5,1,0,MODERATE_RISK
285,36.1,46.92,0.885,0.507,53.8,69.3,62.9,3,1,CRITICAL_DOOM
286,2.49,1.2,0.608,0.004,18.5,16.7,16.7,0,0,STABLE
287,0.81,0.28,0.237,0.037,12.3,16.2,12.1,0,0,STABLE
288,38.17,47.31,0.975,0.53,56.0,55.6,54.9,2,1,CRITICAL_DOOM
289,15.97,23.48,0.551,0.403,37.7,32.8,38.5,1,0,MODERATE_RISK
290,1.3,2.87,0.382,0.134,15.6,5.9,7.2,0,0,STABLE
291,8.55,14.07,0.835,0.332,29.8,35.0,38.6,1,0,MODERATE_RISK
292,1.46,6.49,0.428,0.065,5.7,7.5,11.7,0,0,STABLE
293,3.34,2.48,0.245,0.144,8.0,19.3,19.9,0,0,STABLE
294,25.22,49.62,0.907,0.737,47.2,65.6,74.5,2,1,CRITICAL_DOOM
295,38.21,50.72,0.977,0.803,49.9,61.9,68.0,2,1,CRITICAL_DOOM
296,9.22,17.83,0.698,0.393,35.0,25.2,25.2,1,0,MODERATE_RISK
297,43.03,32.31,0.879,0.629,70.4,68.2,52.4,3,1,CRITICAL_DOOM
298,8.3,0.01,0.171,0.043,11.0,18.8,19.9,0,0,STABLE
299,27.25,28.97,0.948,0.867,73.5,64.4,58.9,4,1,CRITICAL_DOOM
300,0.0,4.57,0.494,0.036,7.9,18.8,6.5,0,0,STABLE
301,2.64,0.24,0.269,0.143,13.7,11.5,13.7,0,0,STABLE
302,30.81,31.7,0.966,0.879,71.8,60.5,69.5,3,1,CRITICAL_DOOM
303,16.05,7.05,0.565,0.283,42.1,29.1,26.4,1,0,MODERATE_RISK
304,25.0,46.99,0.955,0.834,55.0,67.3,69.3,3,1,CRITICAL_DOOM
305,2.33,5.21,0.269,0.064,5.6,6.9,16.5,0,0,STABLE
306,10.62,15.2,0.841,0.257,31.1,31.1,29.6,1,0,MODERATE_RISK
307,47.74,53.21,0.96,0.669,54.1,58.1,67.8,4,1,CRITICAL_DOOM
308,4.35,-0.01,0.584,0.148,16.3,10.9,13.9,0,0,STABLE
309,7.41,2.53,0.2,0.117,13.8,19.3,5.6,0,0,STABLE
310,19.26,9.01,0.766,0.226,35.3,35.2,32.4,2,0,MODERATE_RISK
311,46.66,54.96,0.91,0.868,65.8,68.2,71.5,2,1,CRITICAL_DOOM
312,33.53,34.0,0.894,0.891,70.7,67.5,68.2,3,1,CRITICAL_DOOM
313,25.0,44.25,0.871,0.814,67.0,59.6,50.6,4,1,CRITICAL_DOOM
314,0.0,-0.43,0.523,0.123,13.2,19.5,5.8,0,0,STABLE
315,36.1,47.69,0.954,0.721,56.9,53.3,71.6,2,1,CRITICAL_DOOM
316,4.08,-0.57,0.504,0.12,8.8,14.4,13.6,0,0,STABLE
317,38.56,38.6,0.887,0.623,55.6,65.5,58.4,4,1,CRITICAL_DOOM
318,11.32,5.0,0.74,0.283,26.1,32.5,43.9,2,0,MODERATE_RISK
319,8.07,18.13,0.646,0.388,27.0,30.6,30.5,1,0,MODERATE_RISK
320,38.26,37.42,0.873,0.888,48.4,60.1,68.4,4,1,CRITICAL_DOOM
321,8.46,5.03,0.592,0.251,34.7,30.4,30.7,2,0,MODERATE_RISK
